Customers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CustAddress,first_name,last_name,email,gender,CustCity,CustState,CustSuffix,SSN,StartDate,EndDate,CusDOB,CustomerLegacyID,WithholdingCode,Alias LastName,Alias FirstName,Alias Suffix,AliasDOB,,AliasMailAddressas,,image DocumentID,age,heredity,income,burn the midnight oil,unhealthy eating habit,unstable emotion status,smoking and drinking,insufficient physical exercises,type of chronic disease ,
2639720,tz1dJUQRXHrnxej3okj1Bbpqj5ncTcY8kVKq,1939 Bartillon Street,Room 1399,New York City,New York,10604,TRUE,TRUE,7/30/2018,FALSE,646-686-9216,7/26/2018,3652,TRUE,TRUE,FALSE,FALSE,,10/3/2022,,,,,,,,,,,,
1683670,tz1iMS534U2ea6sLZ7yGaLh58hMFqu2cLWmQ,4 Pawling Junction,16th Floor,Austin,Texas,69557,FALSE,TRUE,11/9/2022,FALSE,512-540-8428,3/18/2023,7566,TRUE,FALSE,TRUE,FALSE,,3/7/2018,,,,,,,,,,,,
4325596,tz1SFCcemnJuwSdzhC2m2o346egjKNumhQ6m,21 Anzinger Trail,PO Box 88999,Las Vegas,Nevada,39515,FALSE,FALSE,7/14/2021,FALSE,702-475-3774,8/29/2018,440,FALSE,FALSE,FALSE,FALSE,,10/8/2019,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LineOfBusiness,PlanName,SeriesName,RatebookLocationCode,AnnualizedPremium,PSGName,Rider,,,,,,,,,,,,,,,,,,,,,,,,,
commercial,BronzePlus,B2,70534,605792,yuqofw,Covering commercial property,,,,,,,,,,,,,,,,,,,,,,,,,
personal,BronzePlus,B1,28544,886600,fweztw,Accidental Death Rider,,,,,,,,,,,,,,,,,,,,,,,,,
auto,Oscar Health Plan,Bronze Classic Standard,41889,313909,dhzill,Exterior Repair,,,,,,,,,,,,,,,,,,,,,,,,,
residence,UnitedHealthcare,UHC Bronze Value HSA,2061,635514,dqgymh,Theft Coverage,,,,,,,,,,,,,,,,,,,,,,,,,
personal,Oscar Health Plan,Bronze Classic Standard,35830,123051,eeentc,Accidental Death Rider,,,,,,,,,,,,,,,,,,,,,,,,,
personal,UnitedHealthcare,UHC Bronze Value HSA,813,70893,wvtvzw,Accidental Death Rider,,,,,,,,,,,,,,,,,,,,,,,,,
commercial,UnitedHealthcare,UHC Bronze Value HSA,24679,612214,trrqgt,Covering commercial property,,,,,,,,,,,,,,,,,,,,,,,,,
residence,Oscar Health Plan,Bronze Classic Standard,49225,7275,mujdug,Theft Coverage,,,,,,,,,,,,,,,,,,,,,,,,,
auto,UnitedHealthcare,UHC Bronze Value HSA,50548,514218,eelqzs,Exterior Repair,,,,,,,,,,,,,,,,,,,,,,,,,
commercial,UnitedHealthcare,UHC Bronze Value HSA,46560,991354,xuhier,Covering commercial property,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Account_Product,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StartDate,EndDate,LineOfBusiness,AccountID,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/17/2022,2/1/2023,commercial,5549030,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/18/2022,5/5/2023,personal,9632208,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/16/2022,10/29/2023,auto,1124005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/27/2022,8/3/2023,residence,4191475,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/3/2022,12/16/2022,personal,7072083,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/8/2022,7/22/2023,personal,7053774,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/1/2021,3/27/2023,commercial,7251615,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/22/2021,1/12/2023,residence,5670340,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/6/2022,1/3/2023,auto,6190040,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/3/2022,11/8/2023,commercial,9416670,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Account,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AccountName,AccountID,TaxIDNumber,NumberOfEmployees,ActivityStatus,GroupNumber,CompanyName,LegacyFlexID,AccountEstablishedDate,PlanYearStartDate,AccounPlanYearEndDate,DualCompanyFlag,ComplexAccountFlag,AnnualizedPremuim,NoMonthsInactive,LastInvoicePaidDueDate,LastBillCount,TotalPolicyCount,,AliasName,,AliasAddress,AliasCity,AliasState,AliasZip,AliasPhone,AliasEmailAddress,AliasFax,ssn,BAcctID,PlanName,SeriesName
91xn52ml,5549030,184937,38225,TRUE,154,Jamia,238313,7/30/2018,9/12/2019,2/4/2020,TRUE,TRUE,4/3/2059,FALSE,9/28/2021,24370,15682063,,Friedrich Cuppitt,,51 Loomis Plaza,New York City,New York,22858,813-315-0269,pheckle0@mediafire.com,Phil Heckle,409-39-9148,6191095,BronzePlus,B2
42so41ea,9632208,8562711,97463,TRUE,3102,Ooba,657930,10/8/2019,4/26/2018,5/11/2023,TRUE,TRUE,4/13/1948,FALSE,3/29/2022,41080,27709449,,Thomasin Gregson,,52 Homewood Crossing,Toledo,Ohio,55490,225-774-7256,csmorfit1@foxnews.com,Carlynne Smorfit,762-01-2795,641504,BronzePlus,B1
30bk57tb,1124005,7270225,42307,FALSE,6201,Oloo,482853,12/29/2019,9/27/2018,1/17/2022,FALSE,TRUE,11/13/2056,TRUE,10/22/2023,33072,61966325,,Jonie Hapke,,84317 Grayhawk Road,Lincoln,Nebraska,77592,727-621-9425,ekiln2@bbb.org,Emanuele Kiln,567-75-7966,3958856,Oscar Health Plan,Bronze Classic Standard
14ns80sz,4191475,306892,15215,FALSE,3497,Topicstorm,111886,5/30/2018,1/9/2019,5/25/2020,FALSE,TRUE,12/9/1935,FALSE,8/16/2021,33243,41267508,,Kareem Culbard,,77 Golden Leaf Lane,Fort Worth,Texas,1043,325-740-4823,wsultan3@cpanel.net,Wilona Sultan,524-38-9939,802300,UnitedHealthcare,UHC Bronze Value HSA
27ma41yf,7072083,6987141,15045,FALSE,8093,Edgeblab,305553,2/28/2018,9/2/2019,7/27/2023,FALSE,TRUE,10/19/2155,TRUE,7/5/2020,98881,52001684,,Olivero Creber,,203 Dottie Plaza,Sioux City,Iowa,10136,443-245-0089,hlightoller4@ebay.com,Hort Lightoller,405-59-5143,596935,Oscar Health Plan,Bronze Classic Standard
48xu28wr,7053774,2661722,44389,FALSE,2020,Wikizz,788910,12/21/2018,6/14/2018,1/1/2022,FALSE,FALSE,7/18/2027,FALSE,12/18/2019,55144,10053063,,Salvidor Shoutt,,0 Norway Maple Terrace,Philadelphia,Pennsylvania,6040,347-916-3225,umccandie5@newyorker.com,Ulric McCandie,659-17-9120,3760858,UnitedHealthcare,UHC Bronze Value HSA
49sb05zk,7251615,9229614,86433,TRUE,9820,Dabfeed,258159,1/10/2019,11/5/2018,9/28/2020,TRUE,FALSE,2/28/2007,TRUE,4/24/2022,37096,28728783,,Evan Haxby,,07 Trailsway Place,Raleigh,North Carolina,47544,915-575-4644,ychaise6@cpanel.net,Yank Chaise,724-85-8870,1181152,UnitedHealthcare,UHC Bronze Value HSA
26vk04fr,5670340,3227335,72986,TRUE,8613,Abatz,475992,5/30/2018,8/6/2018,4/30/2023,TRUE,TRUE,3/30/2038,FALSE,1/24/2021,40618,35822183,,Tamra Molineux,,8281 Atwood Way,Oklahoma City,Oklahoma,25223,717-742-8151,tsuthworth7@nhs.uk,Trace Suthworth,519-66-6922,2639720,Oscar Health Plan,Bronze Classic Standard
57xa24cw,6190040,3680875,21421,TRUE,5318,Eimbee,564898,2/19/2019,11/12/2018,7/1/2023,FALSE,FALSE,1/20/2135,FALSE,7/20/2019,14771,68646216,,Evyn Cowie,,3 Riverside Point,Evanston,Illinois,40949,904-674-2420,cantuoni8@howstuffworks.com,Curry Antuoni,465-06-3975,1683670,UnitedHealthcare,UHC Bronze Value HSA
57lg96nc,9416670,2037212,33206,TRUE,3294,Skinte,534963,6/18/2019,10/10/2018,3/10/2023,FALSE,TRUE,3/12/1996,FALSE,9/18/2021,93886,64124043,,Odille Spurdens,,26999 Pierstorff Street,Durham,North Carolina,72068,561-163-8551,dattoe9@goo.gl,Darsie Attoe,134-81-1815,4325596,UnitedHealthcare,UHC Bronze Value HSA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LocationAddress,Location City,Location State,LocationZip,AccountID,,,,,,,,,,,,,,,,,,,,,,,,,,,
6948 1st Pass,Tampa,Florida,817898,5549030,,,,,,,,,,,,,,,,,,,,,,,,,,,
3848 Scoville Plaza,Baton Rouge,Louisiana,905424,9632208,,,,,,,,,,,,,,,,,,,,,,,,,,,
5580 Merry Plaza,Saint Petersburg,Florida,79439,1124005,,,,,,,,,,,,,,,,,,,,,,,,,,,
505 Texas Lane,Abilene,Texas,884112,4191475,,,,,,,,,,,,,,,,,,,,,,,,,,,
16 Thackeray Plaza,Baltimore,Maryland,922717,7072083,,,,,,,,,,,,,,,,,,,,,,,,,,,
4197 Sloan Junction,Brooklyn,New York,109604,7053774,,,,,,,,,,,,,,,,,,,,,,,,,,,
27363 Southridge Road,El Paso,Texas,565541,7251615,,,,,,,,,,,,,,,,,,,,,,,,,,,
382 Upham Pass,York,Pennsylvania,745388,5670340,,,,,,,,,,,,,,,,,,,,,,,,,,,
98210 Grasskamp Drive,Jacksonville,Florida,983973,6190040,,,,,,,,,,,,,,,,,,,,,,,,,,,
92001 Artisan Hill,West Palm Beach,Florida,421033,9416670,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ContractNumber,ActivityStatus,ActivityStatusDate,CoverageType,BillingMethod,SuspendCode,ExceptionCode,ModalPremium,AutoPremium,CreditCardNo,ExpirationDate,CardType,BankingTransitNumber,BankingAccountType,BankingAccountNumber,PremiumPaymentLimitr,SubstandardRater,AHPolicy,Underwriter,ContractUnderwriting documentID,DateReceived,LifePolicy InvestmentCode,LifePolicy Principal,LifePolicy InterestRate,LifePolicy AccruedInteres,LifePolicy LastActivityDate,LifePolicy LegalLastName,LifePolicy LegalFirstName,CashValue,Mortality,LineOfBusiness,SSN
6245365,FALSE,1/12/2018,auto insurance,check,1603,5305,monthly,monthly,4903475483491200000,4/25/2026,switch,5579280,check,132580524,6359272,0.05,2886088,Income,998615,2/12/2018,3478,5041,0.06,0.065,4/13/2022,Drinkhill,Mellisa,3582,47%,commercial,409-39-9148
6026352,FALSE,7/24/2022,life insurance,check,6631,5432,annually,annually,3538388554129040000,8/27/2025,jcb,8587503,saving,94164498,8152146,0.01,8050486,Credit,991335,8/24/2022,7084,8167,0.06,0.065,4/28/2023,O'Neary,Rafaelita,4234,57%,personal,762-01-2795
4545382,TRUE,9/11/2021,homeowners insurance,credit card,1232,6549,annually,annually,4508777694865460000,8/8/2026,visa-electron,8498836,MMAs,114041860,9013859,0.05,1454277,Asset Information,410734,10/11/2021,9735,5555,0.08,0.85,1/22/2022,Charle,Ronalda,122,5%,auto,567-75-7966
3383625,TRUE,5/9/2019,auto insurance,check,8021,7543,semi-annually,semi-annually,3039851106110520000,5/6/2025,diners-club-carte-blanche,294228,saving,84289273,2539531,0.08,5417078,Income,764451,6/9/2019,1092,2529,0.09,0.095,4/25/2023,Rhoddie,Millard,9842,29%,residence,524-38-9939
4587440,TRUE,8/5/2019,life insurance,credit card,9663,2724,monthly,monthly,4903862056403660000,11/9/2026,switch,2533102,MMAs,632778392,3673096,0.08,6003263,Credit,31894,9/5/2019,2011,80,0.084,0.09,9/5/2023,Pettingall,Shamus,644,96%,personal,405-59-5143
7568960,TRUE,1/27/2021,life insurance,check,7551,1678,semi-annually,semi-annually,3559049634198500000,3/29/2024,jcb,9194557,check,246571282,8734213,0.09,6675015,Income,786568,2/27/2021,1242,1049,0.095,0.97,4/24/2022,Cleugh,Wendi,6593,76%,personal,659-17-9120
3214306,FALSE,3/4/2018,life insurance,check,5663,6814,annually,annually,3543520160854190000,12/25/2023,jcb,1327219,saving,887539873,5076321,0.02,3890240,Credit,298710,4/4/2018,7818,1691,0.03,0.04,8/21/2023,Kellitt,Brade,9447,2%,commercial,724-85-8870
5496328,TRUE,8/9/2022,auto insurance,credit card,188,5575,semi-annually,semi-annually,3530074943181940000,7/17/2025,jcb,9020176,check,659407970,5259188,0.07,9691854,Income,690119,9/9/2022,3553,1989,0.076,0.08,11/9/2023,Durward,Anthia,2750,14%,residence,519-66-6922
1396984,TRUE,3/12/2020,life insurance,check,1466,1844,quarterly ,quarterly ,6370477087348850000,10/21/2026,instapayment,6582233,saving,678354660,4908485,0.09,1945868,Asset Information,670584,4/12/2020,7687,9989,0.095,0.098,11/8/2022,Ianelli,Helaina,1623,34%,auto,465-06-3975
4880713,FALSE,2/11/2018,life insurance,credit card,2292,9047,annually,annually,5575263577051000000,8/21/2025,mastercard,2869620,check,256678111,3477676,0.05,6248849,Credit,739430,3/11/2018,3025,8786,0.057,0.07,6/28/2021,Mattiato,Cassey,7878,5%,commercial,134-81-1815
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Associate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AssocLastName,AssocFirstName,AssocSuffix,AssocDOB,TenureDate,AssocPhone,ConsolAssocID,CorpEMailAddress,AssocAddress1,AssocAddress2,AssocCity,AssocState,AssocZip,StartDate,NationalLunsuranceID,,,,,,,,,,,,,,,,,
Freeberne,Audrie,IV,2/6/1997,12/24/2022,412-953-7563,529398,afreeberne0@ted.com,9564 Welch Alley,PO Box 78882,Pittsburgh,Pennsylvania,42469,6/17/2019,248186,,,,,,,,,,,,,,,,,
Saben,Abramo,III,1/12/21989,2/4/2023,718-885-2630,245084,asaben1@businessinsider.com,2012 Stang Trail,13th Floor,Brooklyn,New York,46426,9/13/2018,991215,,,,,,,,,,,,,,,,,
Laverack,Marietta,Jr,8/24/1988,8/7/2023,202-114-5558,915969,mlaverack2@hugedomains.com,7 Barnett Circle,PO Box 47465,Washington,District of Columbia,68076,10/24/2020,920789,,,,,,,,,,,,,,,,,
Edmonstone,Anstice,IV,6/2/1993,1/8/2023,803-577-3743,69096,aedmonstone3@is.gd,82 Ilene Alley,15th Floor,Columbia,South Carolina,7855,5/18/2021,459771,,,,,,,,,,,,,,,,,
Keymar,Wendye,III,4/26/1993,3/3/2023,702-271-1604,203495,wkeymar4@nytimes.com,8366 Mccormick Street,Suite 23,North Las Vegas,Nevada,7778,4/30/2019,396092,,,,,,,,,,,,,,,,,
Neville,Davon,II,2/28/1996,2/23/2023,916-857-8331,912339,dneville5@is.gd,80479 Lake View Place,PO Box 75563,Sacramento,California,86212,2/16/2017,656503,,,,,,,,,,,,,,,,,
Walsom,Dore,IV,5/12/1994,6/9/2023,559-349-8712,352470,dwalsom6@blogtalkradio.com,2559 Jenifer Center,Apt 49,Fresno,California,3895,1/21/2019,708803,,,,,,,,,,,,,,,,,
Colomb,Carlie,Sr,9/4/1995,10/8/2023,608-823-0238,133618,ccolomb7@a8.net,5736 Shasta Terrace,10th Floor,Madison,Wisconsin,39008,8/19/2021,142456,,,,,,,,,,,,,,,,,
Chatelain,Hewitt,Sr,11/6/1995,11/8/2023,202-209-0838,206848,hchatelain8@microsoft.com,773 Donald Hill,Apt 536,Washington,District of Columbia,70094,5/3/2022,322273,,,,,,,,,,,,,,,,,
